area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;010401;027;07;1;1;1;2;2;2;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150010401;01015001040102707;010150010401027071;2712;135,531632822317;202112
1;10150;010401;027;08;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150010401;01015001040102708;010150010401027081;2712;135,531632822317;202112
1;10150;010401;027;09;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;3;010150010401;01015001040102709;010150010401027091;2712;135,531632822317;202112
1;10150;010502;027;01;1;1;2;6;1;1;2;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150010502;01015001050202701;010150010502027011;2713;60,9528908523449;202112
1;10150;010502;027;06;1;1;2;6;3;1;3;3;3;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150010502;01015001050202706;010150010502027061;2713;60,9528908523449;202112
1;10150;010502;027;07;1;1;2;2;3;1;3;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150010502;01015001050202707;010150010502027071;2713;60,9528908523449;202112
1;10150;010502;027;08;1;1;2;6;1;1;2;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150010502;01015001050202708;010150010502027081;2713;60,9528908523449;202112
1;10150;010502;027;10;1;1;2;6;2;1;1;3;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150010502;01015001050202710;010150010502027101;2713;60,9528908523449;202112
1;10150;010701;021;01;1;1;1;2;3;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150010701;01015001070102101;010150010701021011;2713;398,665381107607;202112
1;10150;010701;021;02;1;1;3;2;2;1;2;3;2;1;1;0;1;1;1; ; ;1; ; ;2;2;1;2;5;010150010701;01015001070102102;010150010701021021;2713;398,665381107607;202112
1;10150;010701;021;03;1;1;1;4;1;1;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150010701;01015001070102103;010150010701021031;2713;398,665381107607;202112
1;10150;010701;021;04;1;3;2;2;1;1;1;1;1;2;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150010701;01015001070102104;010150010701021041;2713;398,665381107607;202112
1;10150;010701;021;05;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150010701;01015001070102105;010150010701021051;2713;398,665381107607;202112
1;10150;010701;021;06;1;3;2;1;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150010701;01015001070102106;010150010701021061;2713;398,665381107607;202112
1;10150;010701;021;07;1;3;1;2;1;4;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150010701;01015001070102107;010150010701021071;2713;398,665381107607;202112
1;10150;012402;010;01;1;1;1;2;2;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150012402;01015001240201001;010150012402010011;2711;34,859256433368;202112
1;10150;012402;010;02;1;1;1;2;1;2;1;1;1;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150012402;01015001240201002;010150012402010021;2711;34,859256433368;202112
1;10150;012402;010;03;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150012402;01015001240201003;010150012402010031;2711;34,859256433368;202112
1;10150;012402;010;04;1;1;1;2;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150012402;01015001240201004;010150012402010041;2711;34,859256433368;202112
1;10150;012402;010;05;1;1;1;2;1;2;1;1;1;3;2;1;1;1;1; ; ;1; ; ;1;1;1;2;4;010150012402;01015001240201005;010150012402010051;2711;34,859256433368;202112
1;10150;012402;010;06;1;1;1;2;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150012402;01015001240201006;010150012402010061;2711;34,859256433368;202112
1;10150;012402;010;07;1;1;2;1;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150012402;01015001240201007;010150012402010071;2711;34,859256433368;202112
1;10150;012802;023;01;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150012802;01015001280202301;010150012802023011;2713;126,140670318945;202112
1;10150;012802;023;02;1;1;3;1;2;2;2;1;2;1;0;0;2;1;1; ; ;1; ; ;1;2;1;2;1;010150012802;01015001280202302;010150012802023021;2713;126,140670318945;202112
1;10150;012802;023;03;1;1;2;1;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150012802;01015001280202303;010150012802023031;2713;126,140670318945;202112
1;10150;012802;023;04;1;1;2;1;2;1;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150012802;01015001280202304;010150012802023041;2713;126,140670318945;202112
1;10150;012802;023;05;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150012802;01015001280202305;010150012802023051;2713;126,140670318945;202112
1;10150;012802;023;06;1;1;2;4;2;1;2;1;2;2;1;1;1;1;1; ; ;1; ; ;1;1;1;2;1;010150012802;01015001280202306;010150012802023061;2713;126,140670318945;202112
1;10150;012802;023;10;1;1;2;1;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150012802;01015001280202310;010150012802023101;2713;126,140670318945;202112
1;10150;013002;010;02;1;1;2;1;1;2;1;1;1;1;1;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150013002;01015001300201002;010150013002010021;2712;72,6690205495013;202112
1;10150;013002;010;03;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150013002;01015001300201003;010150013002010031;2712;72,6690205495013;202112
1;10150;013002;010;04;1;1;3;1;1;2;2;1;2;1;0;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150013002;01015001300201004;010150013002010041;2712;72,6690205495013;202112
1;10150;013002;010;06;1;1;1;1;1;1;2;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150013002;01015001300201006;010150013002010061;2712;72,6690205495013;202112
1;10150;013002;010;09;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150013002;01015001300201009;010150013002010091;2712;72,6690205495013;202112
1;10150;016003;023;01;1;1;2;2;1;1;1;1;1;7;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;010150016003;01015001600302301;010150016003023011;2712;124,07467952963;202112
1;10150;016003;023;03;1;1;1;2;1;2;1;1;1;6;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150016003;01015001600302303;010150016003023031;2712;124,07467952963;202112
1;10150;016003;023;04;1;1;2;1;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150016003;01015001600302304;010150016003023041;2712;124,07467952963;202112
1;10150;016003;023;05;1;1;1;4;2;2;1;1;1;4;3;1;1;1;1; ; ;1; ; ;1;1;1;2;1;010150016003;01015001600302305;010150016003023051;2712;124,07467952963;202112
1;10150;016003;023;06;1;1;2;2;1;2;1;1;1;7;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150016003;01015001600302306;010150016003023061;2712;124,07467952963;202112
1;10150;016003;023;07;1;1;1;4;2;1;1;1;1;6;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150016003;01015001600302307;010150016003023071;2712;124,07467952963;202112
1;10150;016003;023;08;1;1;2;1;1;1;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150016003;01015001600302308;010150016003023081;2712;124,07467952963;202112
1;10150;016102;027;01;1;1;2;1;2;2;2;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150016102;01015001610202701;010150016102027011;2711;116,811955201136;202112
1;10150;016102;027;02;1;1;1;4;1;2;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150016102;01015001610202702;010150016102027021;2711;116,811955201136;202112
1;10150;016102;027;03;1;1;1;2;1;1;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;1;010150016102;01015001610202703;010150016102027031;2711;116,811955201136;202112
1;10150;016102;027;05;1;1;1;2;1;2;1;1;1;7;3;0;1;1;1; ; ;1; ; ;1;1;1;2;3;010150016102;01015001610202705;010150016102027051;2711;116,811955201136;202112
1;10150;016102;027;08;1;1;1;2;1;2;1;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150016102;01015001610202708;010150016102027081;2711;116,811955201136;202112
1;10150;016102;027;09;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;010150016102;01015001610202709;010150016102027091;2711;116,811955201136;202112
