area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;5903;12;6;1;4;1;2;1;4;2;1;2;3;2;0;1;1;1;1;;;1;1;1;2;4;2713;246;10150005903;1,015E+15;1,015E+16;201912
1;10150;5903;12;7;1;4;1;3;3;4;2;1;2;6;4;0;1;1;1;7;;;4;1;4;2;4;2713;246;10150005903;1,015E+15;1,015E+16;201912
1;10150;6401;6;1;1;1;1;2;2;1;2;1;2;8;4;0;1;1;1;1;;;1;1;1;2;4;2713;272;10150006401;1,015E+15;1,015E+16;201912
1;10150;6401;6;2;1;1;2;4;1;2;1;1;1;5;3;0;1;1;1;1;;;1;1;1;2;5;2713;272;10150006401;1,015E+15;1,015E+16;201912
1;10150;6401;6;3;1;1;2;2;1;1;1;1;1;6;5;0;1;1;1;1;;;1;1;1;2;4;2713;272;10150006401;1,015E+15;1,015E+16;201912
1;10150;6401;6;4;1;1;1;4;2;1;2;1;2;4;3;0;1;1;1;1;;;1;1;1;2;4;2713;272;10150006401;1,015E+15;1,015E+16;201912
1;10150;6401;6;5;1;1;2;1;1;2;2;1;1;3;2;0;1;2;1;1;;;1;1;1;2;1;2713;272;10150006401;1,015E+15;1,015E+16;201912
1;10150;6401;6;6;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;1;2713;272;10150006401;1,015E+15;1,015E+16;201912
1;10150;6401;6;7;1;1;2;6;1;1;2;1;3;4;3;0;1;1;1;1;;;1;1;1;2;1;2713;272;10150006401;1,015E+15;1,015E+16;201912
1;10150;6603;12;1;1;3;1;2;2;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2713;78;10150006603;1,015E+15;1,015E+16;201912
1;10150;6603;12;2;1;3;1;3;2;4;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2713;78;10150006603;1,015E+15;1,015E+16;201912
1;10150;6603;12;3;1;3;2;1;1;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;5;2713;78;10150006603;1,015E+15;1,015E+16;201912
1;10150;6603;12;4;1;3;1;2;2;4;2;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2713;78;10150006603;1,015E+15;1,015E+16;201912
1;10150;6603;12;5;1;3;1;4;1;2;1;1;1;6;4;0;1;1;1;1;;;1;1;1;2;4;2713;78;10150006603;1,015E+15;1,015E+16;201912
1;10150;6603;12;6;1;4;1;2;1;2;1;1;1;3;2;0;1;1;2;1;;;1;1;1;2;1;2713;78;10150006603;1,015E+15;1,015E+16;201912
1;10150;6603;12;7;1;3;1;2;1;1;1;1;1;3;2;0;1;1;2;1;;;1;1;1;2;1;2713;78;10150006603;1,015E+15;1,015E+16;201912
1;10150;7002;12;1;1;1;1;2;1;1;1;1;1;4;3;2;1;1;1;1;;;1;1;1;2;4;2711;126;10150007002;1,015E+15;1,015E+16;201912
1;10150;7002;12;2;1;1;1;2;1;1;1;1;1;6;4;0;1;1;1;1;;;1;1;1;2;4;2711;126;10150007002;1,015E+15;1,015E+16;201912
1;10150;7002;12;3;1;1;1;2;1;1;1;1;1;5;3;1;1;1;1;1;;;1;1;1;2;3;2711;126;10150007002;1,015E+15;1,015E+16;201912
1;10150;7002;12;4;1;1;1;2;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;1;2711;126;10150007002;1,015E+15;1,015E+16;201912
1;10150;7002;12;5;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2711;126;10150007002;1,015E+15;1,015E+16;201912
1;10150;7002;12;6;1;1;2;2;1;1;1;1;1;4;2;0;1;1;1;1;;;1;1;1;2;1;2711;126;10150007002;1,015E+15;1,015E+16;201912
1;10150;7002;12;7;1;1;2;1;1;2;1;1;1;5;3;0;1;1;1;1;;;1;1;1;2;5;2711;126;10150007002;1,015E+15;1,015E+16;201912
1;10150;7401;12;1;1;1;2;6;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2713;72;10150007401;1,015E+15;1,015E+16;201912
1;10150;7401;12;3;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;1;2713;72;10150007401;1,015E+15;1,015E+16;201912
1;10150;7401;12;4;1;1;1;4;2;2;2;3;2;3;2;1;1;1;1;1;;;1;1;1;2;1;2713;72;10150007401;1,015E+15;1,015E+16;201912
1;10150;7401;12;5;1;1;3;4;2;2;2;3;2;1;0;0;2;4;1;1;;;2;2;1;2;1;2713;72;10150007401;1,015E+15;1,015E+16;201912
1;10150;7401;12;6;1;1;2;4;1;1;1;1;1;5;3;0;1;1;1;1;;;1;1;1;2;1;2713;72;10150007401;1,015E+15;1,015E+16;201912
1;10150;7401;12;7;1;1;2;4;1;2;1;1;1;4;2;0;1;1;1;1;;;1;1;1;2;1;2713;72;10150007401;1,015E+15;1,015E+16;201912
1;10150;7401;12;9;1;1;1;2;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;4;2713;72;10150007401;1,015E+15;1,015E+16;201912
1;10150;7701;6;1;1;1;1;4;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;4;2711;102;10150007701;1,015E+15;1,015E+16;201912
1;10150;7701;6;2;1;1;1;4;1;1;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;1;2711;102;10150007701;1,015E+15;1,015E+16;201912
1;10150;7701;6;3;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;1;2711;102;10150007701;1,015E+15;1,015E+16;201912
1;10150;7701;6;4;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2711;102;10150007701;1,015E+15;1,015E+16;201912
1;10150;7701;6;5;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2711;102;10150007701;1,015E+15;1,015E+16;201912
1;10150;7701;6;6;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2711;102;10150007701;1,015E+15;1,015E+16;201912
1;10150;7701;6;7;1;1;2;4;1;1;1;1;1;2;1;0;1;1;1;1;;;1;1;1;2;1;2711;102;10150007701;1,015E+15;1,015E+16;201912
1;10150;8101;6;1;1;1;2;2;2;2;2;1;2;3;2;0;1;1;1;1;;;1;1;1;2;4;2712;155;10150008101;1,015E+15;1,015E+16;201912
1;10150;8101;6;2;1;1;1;2;2;2;2;2;2;5;4;0;1;1;1;1;;;1;1;1;2;4;2712;155;10150008101;1,015E+15;1,015E+16;201912
1;10150;8101;6;3;1;1;2;1;2;2;2;1;2;3;2;0;1;1;1;1;;;1;1;1;2;1;2712;155;10150008101;1,015E+15;1,015E+16;201912
1;10150;8101;6;4;1;1;1;2;1;2;1;1;1;5;4;0;1;1;1;1;;;1;1;1;2;5;2712;155;10150008101;1,015E+15;1,015E+16;201912
1;10150;8101;6;5;1;1;2;1;2;2;2;1;2;4;3;0;1;1;1;1;;;1;1;1;2;1;2712;155;10150008101;1,015E+15;1,015E+16;201912
1;10150;8101;6;6;1;1;1;2;3;2;3;1;3;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;155;10150008101;1,015E+15;1,015E+16;201912
1;10150;8101;6;7;1;1;1;2;1;2;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;5;2712;155;10150008101;1,015E+15;1,015E+16;201912
1;10150;8102;12;1;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;1;2712;229;10150008102;1,015E+15;1,015E+16;201912
1;10150;8102;12;2;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;2;4;2712;229;10150008102;1,015E+15;1,015E+16;201912
1;10150;8102;12;3;1;1;1;4;1;1;1;1;1;4;3;0;1;1;1;1;;;1;1;1;1;4;2712;229;10150008102;1,015E+15;1,015E+16;201912
1;10150;8102;12;4;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2712;229;10150008102;1,015E+15;1,015E+16;201912
1;10150;8102;12;5;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2712;229;10150008102;1,015E+15;1,015E+16;201912
1;10150;8102;12;6;1;1;4;3;2;5;2;4;1;2;1;0;1;1;1;1;;;1;1;1;2;1;2712;229;10150008102;1,015E+15;1,015E+16;201912
1;10150;8102;12;7;1;1;2;1;1;1;1;1;1;3;2;0;1;1;1;1;;;1;1;1;2;4;2712;229;10150008102;1,015E+15;1,015E+16;201912
